종목코드,종목명,종가,대비,등락률,상장시가총액
"138930","BNK금융지주","7820","-80","-1.01","2548814.0"
"042670","두산인프라코어","11100","100","0.91","2506194.0"
"012450","한화에어로스페이스","48950","5450","12.53","2478339.0"
"000990","DB하이텍","52100","900","1.76","2313166.0"
"064350","현대로템","20350","150","0.74","2221046.0"
"006260","LS","68500","1100","1.63","2205700.0"
"001230","동국제강","23700","50","0.21","2261756.0"
"001450","현대해상","23950","-100","-0.42","2141130.0"
"003090","대웅","36450","600","1.67","2119275.0"
"004800","효성","102500","3600","3.64","2159780.0"
"007310","오뚜기","547000","0","0.00","2008574.0"
"272210","한화시스템","18300","300","1.67","2017216.0"
"017800","현대엘리베이","52600","1800","3.54","2146879.0"
"069960","현대백화점","90300","1000","1.12","2113240.0"
"111770","영원무역","46800","50","0.11","2073777.0"
"011210","현대위아","77700","-1300","-1.65","2113058.0"
"000240","한국앤컴퍼니","20100","400","2.03","1908198.0"
"010780","아이에스동서","62900","200","0.32","1943145.0"
"294870","HDC현대산업개발","28000","50","0.18","1845405.0"
"051600","한전KPS","40800","0","0.00","1836000.0"
"016380","KG동부제철","19600","100","0.51","1960174.0"
"004370","농심","295000","8000","2.79","1794379.0"
"006650","대한유화","269000","-1500","-0.55","1748500.0"
"069620","대웅제약","156500","500","0.32","1813299.0"
"052690","한전기술","47150","-2000","-4.07","1802073.0"
"010120","LS ELECTRIC","55500","400","0.73","1665000.0"
"003000","부광약품","20600","100","0.49","1463899.0"
"004000","롯데정밀화학","62000","2200","3.68","1599600.0"
"005250","녹십자홀딩스","34500","-300","-0.86","1622473.0"
"185750","종근당","128000","1000","0.79","1462541.0"
"031430","신세계인터내셔날","220500","2500","1.15","1574370.0"
"032350","롯데관광개발","21050","1300","6.58","1458253.0"
"120110","코오롱인더","59800","1400","2.40","1613335.0"
"013890","지누스","98600","5700","6.14","1557924.0"
"000150","두산","81000","2800","3.58","1338431.0"
"000210","DL","83600","400","0.48","1290890.0"
"000670","영풍","712000","8000","1.14","1311532.0"
"001120","LG상사","32700","-700","-2.10","1267452.0"
"001740","SK네트웍스","5580","70","1.27","1384887.0"
"214320","이노션","63600","200","0.32","1272000.0"
"004490","세방전지","96600","4400","4.77","1352400.0"
"005300","롯데칠성","158500","500","0.32","1422557.0"
"073240","금호타이어","4710","65","1.40","1352996.0"
"161890","한국콜마","56300","600","1.08","1288210.0"
"003240","태광산업","1169000","1000","0.09","1301565.0"
"001800","오리온홀딩스","17300","400","2.37","1083766.0"
"284740","쿠쿠홈시스","47700","1200","2.58","1070261.0"
"003850","보령제약","22450","300","1.35","1170094.0"
"005440","현대그린푸드","11050","250","2.31","1079635.0"
"009420","한올바이오파마","21750","200","0.93","1136234.0"
"014820","동원시스템즈","42950","500","1.18","1100315.0"
"020000","한섬","45150","-100","-0.22","1112045.0"
"020560","아시아나항공","16050","800","5.25","1194309.0"
"057050","현대홈쇼핑","93700","2200","2.40","1124400.0"
"103140","풍산","40200","200","0.50","1126576.0"
"114090","GKL","17700","700","4.12","1094845.0"
"192080","더블유게임즈","67100","500","0.75","1232929.0"
"192820","코스맥스","117000","-500","-0.43","1175793.0"
"241590","화승엔터프라이즈","18300","50","0.27","1108136.0"
"003520","영진약품","6210","-20","-0.32","1135764.0"
"000070","삼양홀딩스","117000","-500","-0.43","1002020.0"
"001680","대상","29100","450","1.57","1008258.0"
"006120","SK디스커버리","52200","500","0.97","993776.0"
"049770","동원F&B","227500","0","0.00","877951.0"
"064960","SNT모티브","61100","0","0.00","893474.0"
"069260","휴켐스","21650","50","0.23","885021.0"
"192400","쿠쿠홀딩스","138000","0","0.00","981516.0"
"079160","CJ CGV","29600","0","0.00","1038960.0"
"079550","LIG넥스원","47100","3750","8.65","1036200.0"
"093370","후성","9850","30","0.31","912177.0"
"105630","한세실업","24650","-450","-1.79","986000.0"
"108670","LG하우시스","96200","-2200","-2.24","862690.0"
"071840","롯데하이마트","38700","1150","3.06","913618.0"
"002350","넥센타이어","8270","140","1.72","807713.0"
"005610","SPC삼립","88000","2900","3.41","759353.0"
"006390","한일현대시멘트","40200","0","0.00","714536.0"
"115390","락앤락","13800","0","0.00","731505.0"
"012630","HDC","13700","0","0.00","818462.0"
"018250","애경산업","26500","550","2.12","699863.0"
"007570","일양약품","36750","-300","-0.81","701398.0"
"001060","JW중외제약","27850","100","0.36","599887.0"
"003230","삼양식품","86100","1600","1.89","648593.0"
"145990","삼양사","63800","1400","2.24","657998.0"
"009410","태영건설","13000","500","4.00","505688.0"
"005180","빙그레","62300","1700","2.81","613732.0"
"008350","남선알미늄","3635","100","2.83","400501.0"
"007700","F&F홀딩스","41600","-2500","-5.67","321925.0"
